set,approach,rmse,r2,spearman
train,logistic,1.1554707955094659,0.7239741901147578,0.9905252405312811
test,logistic,2.0277911865578733,0.14687669753694022,0.5247578027937854
train,difference,0.18636315702428988,0.9928195466636983,0.9884568820926981
test,difference,1.971865209915607,0.19328563258402287,0.5370811282021265
