cap_level,diff_level,RMSE,R2,Spearman
0,0,0.17900978713174828,-8.334527202483622,0.025294835042649687
0,1,0.1883121645242056,-4.985188185509092,-0.07484893682260196
0,2,0.18606338217219626,-3.153910507866577,0.11011835839957941
0,3,0.18110977601765507,-0.6281995629697203,0.038963244044638815
0,4,0.3129427200152931,-1.233528342733742,-0.15061341284702187
1,0,0.1877848718857186,-24.056075558598927,0.0064989017379116845
1,1,0.17505682038599618,-8.847601568386246,-0.028540750455802125
1,2,0.17809435750940458,-6.768181838684552,0.12052108889949496
1,3,0.15721890483009998,-2.044810634353621,-0.07802338272342152
1,4,0.2910029975073096,-1.5843632049062562,-0.17104349974209238
2,0,0.19074921341807502,-33.90250751297029,-0.02665199290741797
2,1,0.17672408111645513,-9.061384853011363,0.02814059921208466
2,2,0.17462108646328584,-8.919562166099222,0.11051347132439458
2,3,0.15077594040363324,-2.399149741848126,-0.1784070715608528
2,4,0.2833050171125022,-1.5820666728915698,-0.1869508760057987
0,All,0.2192942162929053,-0.3556005215729474,0.11171463055678553
2,All,0.20333878397966207,-0.38257980142735604,0.1260831525435903
1,All,0.2062332815326793,-0.39563029552770557,0.13346250573640273
All,4,0.2961044356111733,-1.4381905093848943,-0.1660005483646864
All,2,0.1796884778020659,-5.177836806263824,0.12420771982054912
All,1,0.18017993615278785,-6.853107733815646,-0.02039474950419828
All,0,0.1858808380813422,-15.520182369698375,0.006213858327629823
All,3,0.16365310154751822,-1.27945239677533,-0.06551649931775437
All,All,0.2097889149515739,-0.3744387066666275,0.12506209133200308
