dataset,proxy_error,target_error,pe_spearman,te_spearman,significant_difference
abalone,difference,absolute,0.055107485966501155,0.271187511645542,True
abalone,difference,squared,0.055107485966501155,0.2642997819111751,True
abalone,difference,squared_signed,0.16747049708530587,0.1360668950355712,True
abalone,difference,logistic_absolute,0.05510744325365331,0.23495520312567494,True
abalone,difference,logistic,0.16747049158645583,0.15066690042981987,True
abalone,squared_signed,difference,0.1360668953856117,0.16747049708530587,True
abalone,squared_signed,absolute,0.23238628423487348,0.271187511645542,True
abalone,squared_signed,squared,0.23238628380515938,0.2642997819111751,True
abalone,squared_signed,logistic_absolute,0.23238626392148487,0.23495520312567494,False
abalone,squared_signed,logistic,0.13606689602565752,0.15066690042981987,True
abalone,logistic,difference,0.15066690440961683,0.16747049708530587,True
abalone,logistic,absolute,0.026178137758308996,0.271187511645542,True
abalone,logistic,squared,0.026178135829286818,0.2642997819111751,True
abalone,logistic,squared_signed,0.15066690440961683,0.1360668950355712,True
abalone,logistic,logistic_absolute,0.026178136413532005,0.23495520312567494,True
abalone,absolute,squared,0.2711875117697798,0.2642997819111751,False
abalone,absolute,logistic_absolute,0.2711875243284305,0.23495520312567494,True
abalone,squared,absolute,0.2636546635640892,0.271187511645542,False
abalone,squared,logistic_absolute,0.263654663241274,0.23495520312567494,True
abalone,logistic_absolute,absolute,0.23495516793309004,0.271187511645542,True
abalone,logistic_absolute,squared,0.23495516819412646,0.2642997819111751,True
auction_verification,difference,absolute,0.7370067767387622,0.7939123188030706,True
auction_verification,difference,squared,0.7370067767387622,0.5165649767094806,True
auction_verification,difference,squared_signed,0.6861691245799444,0.4441597780660248,True
auction_verification,difference,logistic_absolute,0.7370067876945808,0.847853982794239,True
auction_verification,difference,logistic,0.6861691178456075,0.7151277773523161,True
auction_verification,squared_signed,difference,0.44415977584774896,0.6861691245799444,True
auction_verification,squared_signed,absolute,0.6033485005347365,0.7939123188030706,True
auction_verification,squared_signed,squared,0.6033484977507408,0.5165649767094806,True
auction_verification,squared_signed,logistic_absolute,0.6033485179162115,0.847853982794239,True
auction_verification,squared_signed,logistic,0.44415978745583073,0.7151277773523161,True
auction_verification,logistic,difference,0.7151175800621727,0.6861691245799444,True
auction_verification,logistic,absolute,0.756251316652939,0.7939123188030706,True
auction_verification,logistic,squared,0.756251316652939,0.5165649767094806,True
auction_verification,logistic,squared_signed,0.7151175800621727,0.4441597780660248,True
auction_verification,logistic,logistic_absolute,0.7562592641157729,0.847853982794239,True
auction_verification,absolute,squared,0.80001196707761,0.5165649767094806,True
auction_verification,absolute,logistic_absolute,0.800011957608961,0.847853982794239,True
auction_verification,squared,absolute,0.628985324583428,0.7939123188030706,True
auction_verification,squared,logistic_absolute,0.6289853212290705,0.847853982794239,True
auction_verification,logistic_absolute,absolute,0.8479337214494859,0.7939123188030706,True
auction_verification,logistic_absolute,squared,0.8479337214494859,0.5165649767094806,True
bng_echoMonths,difference,absolute,0.05401740065484407,0.28672267783584193,True
bng_echoMonths,difference,squared,0.05401740065484407,0.23785622339618945,True
bng_echoMonths,difference,squared_signed,0.03370480572143033,0.03564321421355372,False
bng_echoMonths,difference,logistic_absolute,0.05401740176074378,0.30409160365650456,True
bng_echoMonths,difference,logistic,0.03370480470032488,0.08375247742614121,True
bng_echoMonths,squared_signed,difference,0.03564321487437979,0.03370480572143033,False
bng_echoMonths,squared_signed,absolute,0.040993694770781394,0.28672267783584193,True
bng_echoMonths,squared_signed,squared,0.040993694635061924,0.23785622339618945,True
bng_echoMonths,squared_signed,logistic_absolute,0.040993694950459236,0.30409160365650456,True
bng_echoMonths,squared_signed,logistic,0.03564321443238355,0.08375247742614121,True
bng_echoMonths,logistic,difference,0.08375248029484338,0.03370480572143033,True
bng_echoMonths,logistic,absolute,0.009432586083469252,0.28672267783584193,True
bng_echoMonths,logistic,squared,0.009432586083469252,0.23785622339618945,True
bng_echoMonths,logistic,squared_signed,0.08375248029484338,0.03564321421355372,True
bng_echoMonths,logistic,logistic_absolute,0.009432584405466588,0.30409160365650456,True
bng_echoMonths,absolute,squared,0.2867226714987017,0.23785622339618945,True
bng_echoMonths,absolute,logistic_absolute,0.2867226700337393,0.30409160365650456,True
bng_echoMonths,squared,absolute,0.23763004922560788,0.28672267783584193,True
bng_echoMonths,squared,logistic_absolute,0.23763005010424168,0.30409160365650456,True
bng_echoMonths,logistic_absolute,absolute,0.3040916046016429,0.28672267783584193,True
bng_echoMonths,logistic_absolute,squared,0.3040916046016429,0.23785622339618945,True
california_housing,difference,absolute,0.31062074029655523,0.46091426251839634,True
california_housing,difference,squared,0.3106207402016272,0.4187728347931246,True
california_housing,difference,squared_signed,0.37906874476025504,0.30901025047582686,True
california_housing,difference,logistic_absolute,0.31062074080791263,0.4771377612042321,True
california_housing,difference,logistic,0.37906874434927723,0.38336118833302585,False
california_housing,squared_signed,difference,0.3090102497863223,0.3790687447797752,True
california_housing,squared_signed,absolute,0.33493974320827696,0.46091426251839634,True
california_housing,squared_signed,squared,0.33493974388616293,0.4187728347931246,True
california_housing,squared_signed,logistic_absolute,0.33493974384561875,0.4771377612042321,True
california_housing,squared_signed,logistic,0.30901024940491256,0.38336118833302585,True
california_housing,logistic,difference,0.3833611001562359,0.3790687447797752,False
california_housing,logistic,absolute,0.2752979213407253,0.46091426251839634,True
california_housing,logistic,squared,0.27529792132858716,0.4187728347931246,True
california_housing,logistic,squared_signed,0.3833611001751952,0.30901025047582686,True
california_housing,logistic,logistic_absolute,0.27529823610670656,0.4771377612042321,True
california_housing,absolute,squared,0.4609141458008506,0.4187728347931246,True
california_housing,absolute,logistic_absolute,0.4609141438837422,0.4771377612042321,True
california_housing,squared,absolute,0.4194333352949568,0.46091426251839634,True
california_housing,squared,logistic_absolute,0.41943333539781674,0.4771377612042321,True
california_housing,logistic_absolute,absolute,0.4771375964915379,0.46091426251839634,True
california_housing,logistic_absolute,squared,0.47713759630424224,0.4187728347931246,True
infrared,difference,absolute,0.12835769871967936,0.12506209133200308,False
infrared,difference,squared,0.12835769871967936,0.1812708728984617,True
infrared,difference,squared_signed,0.06734582250083042,0.13477144726948093,True
infrared,difference,logistic_absolute,0.12835770487747386,0.06489069068558583,True
infrared,difference,logistic,0.06734583309396856,0.07145958317441926,False
infrared,squared_signed,difference,0.1347714466443154,0.06734582250083042,True
infrared,squared_signed,absolute,0.09092733510789099,0.12506209133200308,True
infrared,squared_signed,squared,0.09092734360991904,0.1812708728984617,True
infrared,squared_signed,logistic_absolute,0.09092721513609113,0.06489069068558583,True
infrared,squared_signed,logistic,0.13477143608444683,0.07145958317441926,True
infrared,logistic,difference,0.07145958485427,0.06734582250083042,False
infrared,logistic,absolute,-0.08728997474642541,0.12506209133200308,True
infrared,logistic,squared,-0.08729002644930964,0.1812708728984617,True
infrared,logistic,squared_signed,0.07145958485427,0.13477144726948093,True
infrared,logistic,logistic_absolute,-0.08729001776361409,0.06489069068558583,True
infrared,absolute,squared,0.12506209133200308,0.1812708728984617,True
infrared,absolute,logistic_absolute,0.12506210209358895,0.06489069068558583,True
infrared,squared,absolute,0.18127087543114054,0.12506209133200308,True
infrared,squared,logistic_absolute,0.18127088392757063,0.06489069068558583,True
infrared,logistic_absolute,absolute,0.06489068162408791,0.12506209133200308,True
infrared,logistic_absolute,squared,0.06489067264606754,0.1812708728984617,True
life_expectancy,difference,absolute,0.32187178518529946,0.3713427022973405,True
life_expectancy,difference,squared,0.32187178518529946,0.33624298834201777,False
life_expectancy,difference,squared_signed,0.5370811282021265,0.48553479111895054,True
life_expectancy,difference,logistic_absolute,0.3218717837758361,0.4390861212947273,True
life_expectancy,difference,logistic,0.5370811129353894,0.5247580877971781,False
life_expectancy,squared_signed,difference,0.48553479946236755,0.5370811282021265,True
life_expectancy,squared_signed,absolute,0.36264295307746897,0.3713427022973405,False
life_expectancy,squared_signed,squared,0.3626429459017941,0.33624298834201777,True
life_expectancy,squared_signed,logistic_absolute,0.3626429211131299,0.4390861212947273,True
life_expectancy,squared_signed,logistic,0.48553477613217977,0.5247580877971781,True
life_expectancy,logistic,difference,0.5247578027937854,0.5370811282021265,False
life_expectancy,logistic,absolute,0.3434684529629661,0.3713427022973405,True
life_expectancy,logistic,squared,0.3434684510827831,0.33624298834201777,False
life_expectancy,logistic,squared_signed,0.5247578027937854,0.48553479111895054,True
life_expectancy,logistic,logistic_absolute,0.3434696815870162,0.4390861212947273,True
life_expectancy,absolute,squared,0.3713427022973405,0.33624298834201777,True
life_expectancy,absolute,logistic_absolute,0.37134271235923555,0.4390861212947273,True
life_expectancy,squared,absolute,0.3399543572376177,0.3713427022973405,True
life_expectancy,squared,logistic_absolute,0.3399543659271438,0.4390861212947273,True
