,difference,absolute,squared_signed,squared,logistic,logistic_absolute
difference,N/A,-0.16192034476003858,0.08682667259493398,-0.09679231700253027,-0.013685512527750524,-0.15674006504921695
absolute,N/A,N/A,N/A,0.07104816891678822,N/A,-0.012913235743545571
squared_signed,-0.08682667195625196,-0.16143417953906028,N/A,-0.08120030119007816,-0.09344735755449479,-0.17672794151144577
squared,N/A,-0.0567405569615838,N/A,N/A,N/A,-0.06418626916662634
logistic,0.025993036708235176,-0.1795804400355632,0.09344615901140596,-0.13717160883118795,N/A,-0.19092072658975737
logistic_absolute,N/A,0.012921967388986773,N/A,0.07618535276510353,N/A,N/A
