set,approach,rmse,r2,spearman
train,logistic,0.31495104993994244,0.6331543472159917,0.9766687216378759
test,logistic,0.5153316078577078,0.10481737844457706,0.3833611001612524
train,difference,0.08239885128751008,0.9748904129406307,0.9764077559864484
test,difference,0.5021237158543393,0.15011620362362865,0.3790687447797752
