set,approach,rmse,r2,spearman
train,difference,0.09292457168777853,0.9643881280461355,0.9764077559501423
test,difference,0.5402700814163842,-0.216469740000097,0.37906874434927723
train,logistic,0.09798375239528752,0.960199352728372,0.976669224846848
test,logistic,0.4508558019515187,0.1627572295004518,0.38336118833302585
