set,approach,rmse,r2,spearman
train,difference,0.0788552518091836,0.9563296697050057,0.9340350281402274
test,difference,0.42148914711326396,-0.08294343478781663,0.31062074028028624
train,absolute,0.09667189283799126,0.9343664832344065,0.8999519379865585
test,absolute,0.36093398786918096,0.20587560094471646,0.4609142625109732
