set,approach,rmse,r2,spearman
train,logistic,18974852.6033668,0.25432554856268474,0.9550934912104734
test,logistic,25979318.945209097,0.28575418196438707,0.756251316652939
train,squared,1178918.1146656277,0.9971215431249709,0.7360085766454703
test,squared,16148342.986762969,0.7240387544420465,0.5165649767094806
