set,approach,rmse,r2,spearman
train,logistic_absolute,964.2716177150161,0.7335922287773828,0.9539638298145685
test,logistic_absolute,1469.6618264510994,0.5792952545290764,0.8479337214494859
train,absolute,173.86754694089657,0.9913386582389568,0.9423274835120894
test,absolute,837.166030877549,0.863489588180937,0.7939123188030706
