set,approach,rmse,r2,spearman
train,logistic_absolute,17412266.437126856,0.37208183143013185,0.9539638298145685
test,logistic_absolute,25115892.35281368,0.3324413791623939,0.8479337214494859
train,squared,1178918.1146656277,0.9971215431249709,0.7360085766454703
test,squared,16148342.986762969,0.7240387544420465,0.5165649767094806
