set,approach,rmse,r2,spearman
train,squared,344.43115701688464,0.9660098576871997,0.7804727241105075
test,squared,1346.5068141758438,0.6468496085044573,0.628985324583428
train,absolute,173.86754694089657,0.9913386582389568,0.9423274835120894
test,absolute,837.166030877549,0.863489588180937,0.7939123188030706
