set,approach,rmse,r2,spearman
train,difference,1137744.5336965676,0.9973886868624204,0.9722949731052303
test,difference,14476158.813155046,0.7854696010666655,0.6861691245799444
train,squared_signed,1126857.1925045867,0.9974384242654835,0.789484879349832
test,squared_signed,21610944.716376826,0.5218879745877566,0.4441597780660248
