margin_level,RMSE,R2,Spearman
0,2.8125838073055998,-0.4782501036571214,0.07107405253403548
1,1.1728843593836014,-0.8388125055289581,0.18737659493464714
2,1.1536310920923352,-3.125573508847533,0.11954417470215421
3,1.4083652669010651,-11.054106359306545,0.038129704244603185
4,1.4510278488659745,-20.18517305433291,0.13369813411267598
All,1.732510191334174,-0.043682219557775515,0.3713427022973405
