cap_level,diff_level,RMSE,R2,Spearman
0,0,0.8891442658859272,-1.1704984913832321,0.43554650094448705
0,1,1.9215815088662094,-3.265358999780494,0.3190038628130405
0,2,1.3081369479520422,-0.4827858373513063,0.33310278116515296
0,3,1.094448472361494,0.39942961557213197,0.4167042038213194
0,4,2.8950590233058584,-0.07297897538730003,0.2027247963794632
1,0,0.6953962187112422,-4.573219900257626,0.14134495062934746
1,1,1.9135424637303526,-27.012219040738767,0.039335282171893186
1,2,1.169564048007262,-5.1378326802900185,0.16380822413369134
1,3,0.8185391038143257,-0.9005962795160867,0.11398859937645855
1,4,2.6755421988498096,-0.969017079683351,-0.03502430311174716
2,0,0.6645215177139038,-3.9361336523497297,0.14408076772186393
2,1,2.0152290293892805,-30.214030288692882,0.030956553408278034
2,2,1.1927433717498819,-6.02956117677329,0.06611387296504763
2,3,0.8647306822978076,-0.6754105667197388,0.14021022026795493
2,4,2.685698072721587,-0.7967651382832581,0.08956357982447478
0,All,1.8146961860266206,0.22645181127583391,0.46012921068746937
1,All,1.673525713174529,-0.41996825360977685,0.2828344768726343
2,All,1.7061547787332922,-0.4745124275339616,0.22450419878282032
All,2,1.2249815084103235,-1.3137019572451787,0.30670704095875806
All,3,0.9337349509782026,0.22635111736802338,0.32364176989295285
All,0,0.7562500190766959,-1.8712075253784444,0.2928669514488841
All,4,2.7539587835254657,-0.3648976003929687,0.1339534432846805
All,1,1.9506638439779953,-7.23220261130237,0.20111448385869155
All,All,1.732510191334174,-0.043682219557775515,0.3713427022973405
