set,approach,rmse,r2,spearman
train,squared_signed,0.012183365098675594,0.9993078398071606,0.9995527450906487
test,squared_signed,0.5661817251299958,-0.8251623929584595,0.2731725652619034
train,logistic,0.001771009755209766,0.9999825675307682,0.9999809961797695
test,logistic,0.4770133790773871,0.027029237093570302,0.30352960037483073
