cap_level,diff_level,RMSE,R2,Spearman
0,0,261.47557355403103,0.8994854794718687,0.7593665358184479
0,1,374.8730091531007,0.7938053424101781,0.7198673361661316
0,2,521.3600514642942,0.5815263752023793,0.6708207421044132
0,3,694.9061773643123,0.7726051951999963,0.7700942139105846
0,4,2830.982309938866,0.6626620035517843,0.7872579727785084
1,0,189.2243442395104,-2.007078260545871,0.3610387175339835
1,1,459.70580979143307,-3.278255360453386,0.33548129188595155
1,2,376.1714615423514,-0.5840562263031406,0.3361367645818191
1,3,546.3946634545348,0.4002252993837788,0.4148571635248789
1,4,1410.8430942945588,0.6925197145840545,0.6505002339672012
2,0,108.29515529554347,-2.11831795035609,0.34889813151192817
2,1,226.607618532422,-3.5063849219557923,0.341961870459613
2,2,394.3688592403786,-4.072160790005516,0.3222781249700443
2,3,295.83587158946943,0.28549057374590836,0.3492539942199991
2,4,1116.7342579430517,0.8009211746031892,0.5480040132416124
0,All,1342.4259813125614,0.8223836797941779,0.818783903061514
1,All,730.8850310921151,0.7550750826554701,0.6225017011404759
2,All,564.4005872644574,0.801359379713406,0.5927680760137253
All,1,366.6107005732528,0.6015716419774344,0.6054678810469485
All,0,196.5563266842087,0.8754931872716119,0.6403311128244463
All,2,435.4492197261421,0.4781508034001002,0.564267727638107
All,3,538.1946941735789,0.767702275789524,0.6482269437120299
All,4,1936.6667652411675,0.7710348695628875,0.779307907597398
All,All,940.7175394137498,0.8276302452450118,0.7370067767387622
