cap_level,diff_level,RMSE,R2,Spearman
0,0,2.472952429753466,0.3115405863158339,0.41462721961661536
0,1,3.458703411790091,-0.20917669735409006,0.3124413150148151
0,2,5.275275476200738,-1.0349819051254299,0.15696221732999552
0,3,8.577039332249461,-2.5295070770064174,0.19169996569594835
0,4,21.43902321012676,-3.522124361619296,0.24869120761028524
1,0,2.2738213457681824,-4.120896341566394,0.11429582480455548
1,1,2.9313618739515555,-2.1175779711056992,0.017960718539914444
1,2,4.795340048233445,-3.303210263646246,0.0014243590942766779
1,3,8.213034211524215,-6.862794840297571,0.02221693226490146
1,4,21.065954276521836,-3.4735797722051105,0.1496071556934142
2,0,2.2543446975393513,-3.212723832756117,0.17770950812544725
2,1,2.98268235683129,-1.6274952968331462,0.033137101787411354
2,2,4.910904846899961,-2.773286123719238,-0.021027257654052358
2,3,8.196825376769803,-5.099459931713435,-0.006323852763181542
2,4,20.807519678721807,-3.071249559320605,0.11169786391509406
0,All,10.87623565732033,-0.2230982748013679,0.3124298897194045
1,All,10.58348773794581,-0.2638305267836929,0.27140694270225535
2,All,10.487669922284331,-0.2607818057178495,0.2684648313520555
All,3,8.33081590489749,-4.039768729828125,0.07681277860520465
All,0,2.3357958848908003,-0.2613700630739195,0.2625606425016827
All,2,4.998026408603767,-1.8821233579758179,0.05383922637694757
All,1,3.13325739811557,-0.7069300673603269,0.14035828933886174
All,4,21.105757673877033,-3.3153266432448234,0.17598064631252414
All,All,10.650413687921594,-0.24239628687085735,0.28942208687492843
