set,approach,rmse,r2,spearman
train,squared_signed,0.15221938300422555,0.9031465139471816,0.9214642528887205
test,squared_signed,0.4506372622071155,0.15668471626287828,0.5222070851711053
train,logistic,0.08234056949802064,0.9715620055374367,0.9775778079768673
test,logistic,0.33578626971501085,0.5354770761973253,0.7009243506478455
