cap_level,diff_level,RMSE,R2,Spearman
0,0,465.8090944166818,-8.035328097727371,0.2809668012035318
0,1,168.3084212921461,0.6227682537055925,0.17883688025150618
0,2,242.53092941248053,0.16451090218105757,0.23631601780627165
0,3,397.66019695174066,0.07801065220651904,0.6573027928635591
0,4,2957.040715161645,-0.3817698900979112,0.771651798195488
1,0,306.8609507331505,-5.9465264240615365,-0.5271436835983941
1,1,192.52090208161155,-2.877512185790864,-0.4624338132255349
1,2,176.9503833841065,-0.7496905043572306,0.08966409002098738
1,3,530.157707223272,-3.7626021483329195,-0.3314344375143157
1,4,2676.8787549111353,-0.6349911373397448,0.4084621805049534
2,0,185.1315799511084,-2.267584019153672,0.0996916975451598
2,1,120.23006747781737,-0.758476179392914,-0.3726011334766465
2,2,199.71955578559601,-0.9354539023697057,0.3963799791570172
2,3,357.14337970189104,-0.8317190229927716,-0.36883923787250356
2,4,2489.582111491569,-0.49505940519621006,0.4299929075961093
0,All,1407.138172713292,0.3172505728302609,0.611188304070617
2,All,1175.3784473198682,0.03071086673507717,0.1356779081704337
1,All,1282.709128734095,-0.008969302956568503,0.04880748448395832
All,2,208.70064733572926,-0.13934085936317553,0.20494096200755246
All,4,2716.917849726054,-0.3902133672354402,0.6586956868722008
All,0,340.73704897935954,-5.868330477716927,-0.06860669144312373
All,3,433.53572172161074,-0.4016565673482022,0.10464297122324369
All,1,162.93324309559057,0.19394721640889467,-0.0804696594864943
All,All,1292.8998697959405,0.17549048838999315,0.2936225867626498
