set,approach,rmse,r2,spearman
train,logistic,0.045373522097876255,0.973093354099631,0.9835725703417195
test,logistic,0.3709013063100116,-0.8190447763490234,0.026178136413532005
train,logistic_absolute,0.05048792069515369,0.9666857877510611,0.9796120704243965
test,logistic_absolute,0.2806577105674653,-0.04155119139434671,0.23495520312567494
